state_context,game_id,block_key,season_group,source_bundle,primary_quality_status,release_gate_status,release_reason_code,execution_lane,blocks_release,research_open,policy_source,has_active_correction,has_open_actionable_residual,has_source_limited_residual,has_boundary_difference,has_material_minute_issue,has_severe_minute_issue,has_event_on_court_issue,n_active_corrections,n_actionable_event_rows,max_abs_minute_diff,sum_abs_minute_diff_over_0_1,n_pm_reference_delta_rows
live_state,0020101027,phase7,reviewed_residuals_1997_2020_20260424_mechanics_fullrun_v4,phase7_reviewed_residuals_1997_2020_20260424_mechanics_fullrun_v4,boundary_difference,accepted_boundary_difference,general_boundary_difference,policy_frontier_non_local,False,False,auto_default,False,False,False,True,False,False,False,0,0,0.0,0.0,2
live_state,0020101164,phase7,reviewed_residuals_1997_2020_20260424_mechanics_fullrun_v4,phase7_reviewed_residuals_1997_2020_20260424_mechanics_fullrun_v4,boundary_difference,accepted_boundary_difference,general_boundary_difference,policy_frontier_non_local,False,False,auto_default,False,False,False,True,False,False,False,0,0,0.0,0.0,2
live_state,0020200079,phase7,reviewed_residuals_1997_2020_20260424_mechanics_fullrun_v4,phase7_reviewed_residuals_1997_2020_20260424_mechanics_fullrun_v4,boundary_difference,accepted_boundary_difference,general_boundary_difference,policy_frontier_non_local,False,False,auto_default,False,False,False,True,False,False,False,0,0,0.0016666666666651,0.0,2
live_state,0020200084,phase7,reviewed_residuals_1997_2020_20260424_mechanics_fullrun_v4,phase7_reviewed_residuals_1997_2020_20260424_mechanics_fullrun_v4,boundary_difference,accepted_boundary_difference,general_boundary_difference,policy_frontier_non_local,False,False,auto_default,False,False,False,True,False,False,False,0,0,0.0016666666666669,0.0,2
live_state,0020200093,phase7,reviewed_residuals_1997_2020_20260424_mechanics_fullrun_v4,phase7_reviewed_residuals_1997_2020_20260424_mechanics_fullrun_v4,boundary_difference,accepted_boundary_difference,general_boundary_difference,policy_frontier_non_local,False,False,auto_default,False,False,False,True,False,False,False,0,0,0.0,0.0,2
live_state,0020200104,phase7,reviewed_residuals_1997_2020_20260424_mechanics_fullrun_v4,phase7_reviewed_residuals_1997_2020_20260424_mechanics_fullrun_v4,boundary_difference,accepted_boundary_difference,general_boundary_difference,policy_frontier_non_local,False,False,auto_default,False,False,False,True,False,False,False,0,0,0.0033333333333338,0.0,8
live_state,0020200114,phase7,reviewed_residuals_1997_2020_20260424_mechanics_fullrun_v4,phase7_reviewed_residuals_1997_2020_20260424_mechanics_fullrun_v4,boundary_difference,accepted_boundary_difference,general_boundary_difference,policy_frontier_non_local,False,False,auto_default,False,False,False,True,False,False,False,0,0,0.0016666666666722,0.0,4
live_state,0020200124,phase7,reviewed_residuals_1997_2020_20260424_mechanics_fullrun_v4,phase7_reviewed_residuals_1997_2020_20260424_mechanics_fullrun_v4,boundary_difference,accepted_boundary_difference,general_boundary_difference,policy_frontier_non_local,False,False,auto_default,False,False,False,True,False,False,False,0,0,0.0066666666666748,0.0,4
live_state,0020200185,phase7,reviewed_residuals_1997_2020_20260424_mechanics_fullrun_v4,phase7_reviewed_residuals_1997_2020_20260424_mechanics_fullrun_v4,boundary_difference,accepted_boundary_difference,general_boundary_difference,policy_frontier_non_local,False,False,auto_default,False,False,False,True,False,False,False,0,0,0.0,0.0,2
live_state,0020200206,phase7,reviewed_residuals_1997_2020_20260424_mechanics_fullrun_v4,phase7_reviewed_residuals_1997_2020_20260424_mechanics_fullrun_v4,exact,exact,exact,exact,False,False,auto_default,False,False,False,False,False,False,False,0,0,0.0216666666666669,0.0,0
